metric_id,metric_name,home,method_state,default_value_state,prereq_audit,prereq_detail,quality_flags,feasibility,implementation_status,release_target,backend_function,notes
bldg.avg_footprint_size,Average Building Footprint Size,buildings,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_bldg_avg_footprint_size,prereq_audit=ok
bldg.avg_interbuilding_distance,Average Distance Between Buildings,buildings,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_bldg_avg_interbuilding_distance,prereq_audit=ok
bldg.bcr,Building Coverage Ratio (BCR),buildings,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_bldg_bcr,prereq_audit=ok
bldg.clustering_coeff,Building Clustering Coefficient,buildings,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_bldg_clustering_coeff,prereq_audit=ok
bldg.density_per_ha,Building Density,buildings,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_bldg_density_per_ha,prereq_audit=ok
bldg.edge_coverage,Edge Coverage (road frontage),buildings,direct,not_computed,ok,,confidence_low_medium|not_computed|prereq_ok,Low-Medium,planned,final,compute_bldg_edge_coverage,prereq_audit=ok
bldg.elongation,Building Elongation,buildings,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_bldg_elongation,prereq_audit=ok
bldg.far_proxy,Floor Area Ratio proxy,buildings,proxy_only,not_computed,usable_with_caveats,building_levels_tags,confidence_low|proxy_method|not_computed|prereq_caveated,Low,proxy_only,final,compute_bldg_far_proxy,Proxy definition; badge required in UI. | prereq_audit=usable_with_caveats:building_levels_tags
bldg.footprint_regularity,Footprint Regularity,buildings,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_bldg_footprint_regularity,prereq_audit=ok
bldg.growth_rate,Building Growth Rate,buildings,direct,blocked_data,missing,building_snapshots_temporal,confidence_low|blocked_data|prereq_missing,Low,blocked_data,final,compute_bldg_growth_rate,Blocked until temporal snapshots are available. | prereq_audit=missing:building_snapshots_temporal
bldg.orientation,Building Orientation,buildings,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_bldg_orientation,prereq_audit=ok
bldg.size_distribution,Building Size Distribution (Variance / P50 / P90),buildings,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_bldg_size_distribution,prereq_audit=ok
cmp.compactness,Compactness / Urban Form Score,composites,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_cmp_compactness,prereq_audit=ok
cmp.development_pressure,Development Pressure Index,composites,direct,not_computed,usable_with_caveats,vacant_land,confidence_medium|not_computed|prereq_caveated,Medium,planned,final,compute_cmp_development_pressure,prereq_audit=usable_with_caveats:vacant_land
cmp.green_accessibility,Green Accessibility Score,composites,direct,not_computed,usable_with_caveats,population_proxy,confidence_low_medium|not_computed|prereq_caveated,Low-Medium,planned,final,compute_cmp_green_accessibility,prereq_audit=usable_with_caveats:population_proxy
cmp.heat_island_proxy,Urban Heat Island Proxy,composites,proxy_only,not_computed,ok,,confidence_medium|proxy_method|not_computed|prereq_ok,Medium,proxy_only,final,compute_cmp_heat_island_proxy,Proxy definition; badge required in UI. | prereq_audit=ok
cmp.informality_index,Informality Index,composites,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_cmp_informality_index,prereq_audit=ok
cmp.topographic_constraint_expansion,Topographic Constraint on Expansion,composites,direct,not_computed,usable_with_caveats,flood_risk,confidence_medium|not_computed|prereq_caveated,Medium,planned,final,compute_cmp_topographic_constraint_expansion,prereq_audit=usable_with_caveats:flood_risk
cmp.transit_access_green,Transit Access to Green Space,composites,direct,not_computed,ok,,confidence_low_medium|not_computed|prereq_ok,Low-Medium,planned,final,compute_cmp_transit_access_green,prereq_audit=ok
cmp.walkability_index,Walkability Index,composites,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_cmp_walkability_index,prereq_audit=ok
lulc.agriculture_pct,Agricultural Land %,landuse,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_lulc_agriculture_pct,prereq_audit=ok
lulc.green_cover_pct,Green Cover %,landuse,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_lulc_green_cover_pct,prereq_audit=ok
lulc.impervious_ratio,Impervious Surface Ratio,landuse,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_lulc_impervious_ratio,prereq_audit=ok
lulc.mix_index,Land Use Mix Index (Shannon),landuse,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_lulc_mix_index,prereq_audit=ok
lulc.residential_cover_pct,Residential Cover %,landuse,direct,not_computed,ok,,confidence_medium|not_computed|prereq_ok,Medium,planned,final,compute_lulc_residential_cover_pct,prereq_audit=ok
lulc.water_coverage_pct,Water Body Coverage %,landuse,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_lulc_water_coverage_pct,prereq_audit=ok
open.bare_ground_pct,Bare Ground %,landuse,direct,not_computed,ok,,confidence_high|not_computed|prereq_ok,High,planned,final,compute_open_bare_ground_pct,prereq_audit=ok
